zip_code	covid_outcome	count	etl_timestamp
19138	DIED	28	6/18/20 17:20
19125	DIED	12	6/18/20 17:20
19144	DIED	80	6/18/20 17:20
19152	DIED	60	6/18/20 17:20
19153	DIED	8	6/18/20 17:20
19133	DIED	17	6/18/20 17:20
19126	DIED	86	6/18/20 17:20
19119	DIED	64	6/18/20 17:20
19120	DIED	25	6/18/20 17:20
19128	DIED	16	6/18/20 17:20
19104	DIED	63	6/18/20 17:20
19149	DIED	28	6/18/20 17:20
19143	DIED	50	6/18/20 17:20
19146	DIED	29	6/18/20 17:20
19135	DIED	11	6/18/20 17:20
19151	DIED	25	6/18/20 17:20
19154	DIED	25	6/18/20 17:20
19132	DIED	33	6/18/20 17:20
19111	DIED	58	6/18/20 17:20
19114	DIED	28	6/18/20 17:20
19147	DIED	11	6/18/20 17:20
19139	DIED	57	6/18/20 17:20
19124	DIED	29	6/18/20 17:20
19142	DIED	23	6/18/20 17:20
19118	DIED	22	6/18/20 17:20
19122	DIED	16	6/18/20 17:20
19123	DIED	29	6/18/20 17:20
19130	DIED	15	6/18/20 17:20
19116	DIED	60	6/18/20 17:20
19140	DIED	48	6/18/20 17:20
19134	DIED	22	6/18/20 17:20
19145	DIED	22	6/18/20 17:20
19121	DIED	21	6/18/20 17:20
19107	DIED	8	6/18/20 17:20
19150	DIED	21	6/18/20 17:20
19131	DIED	81	6/18/20 17:20
19148	DIED	48	6/18/20 17:20
19115	DIED	96	6/18/20 17:20
19136	DIED	63	6/18/20 17:20
19103	DIED	24	6/18/20 17:20
19141	DIED	37	6/18/20 17:20
